Zap.št.,OVK,OVK_ime,sedez,sedez_naslov,sedez_kraj
1,1001,JESENICE,UE Jesenice (pisarna št. 118),Cesta železarjev 6A,Jesenice
2,1002,RADOVLJICA 1,"Občina Bled, Cesta svobode 13, Bled (poročna dvorana) oz. Dom Joža Ažmana, Triglavska 16, Bohinjska Bistrica",,
3,1002,RADOVLJICA 1,"Dom Joža Ažmana, Triglavska 16, Bohinjska Bistrica oz. Občina Bled, Cesta svobode 13, Bled (poročna dvorana)",,
4,1003,RADOVLJICA 2,Občina Radovljica,Gorenjska cesta 19,Radovljica
5,1004,KRANJ 1,Mestna občina Kranj,Slovenski trg 1,Kranj
6,1005,KRANJ 2,Mestna občina Kranj,Slovenski trg 1,Kranj
7,1006,KRANJ 3,Mestna občina Kranj,Slovenski trg 1,Kranj
8,1007,TRŽIČ,Društvo upokojencev Tržič,Trg svobode 18,Tržič
9,1008,ŠKOFJA LOKA 1,Sokolski dom,Mestni trg 17,Škofja Loka
10,1009,ŠKOFJA LOKA 2,Sokolski dom,Mestni trg 17,Škofja Loka
11,1010,KAMNIK,Občina Kamnik,Glavni trg 24,Kamnik
12,1011,IDRIJA,UE Idrija,Študentovska ulica 2,Idrija
13,2001,TOLMIN,UE Tolmin,Tumov drevored 4,Tolmin
14,2002,PIRAN,UE Piran,Obala 114 a,Portorož
15,2003,IZOLA,UE Izola,Cesta v Pregavor 3 a,Izola
16,2004,KOPER 1,UE Koper,Piranska cesta 2,Koper
17,2005,KOPER 2,UE Koper,Piranska cesta 2,Koper
18,2006,SEŽANA,Stara stavba Občine Sežana (Medobčinsko društvo invalidov Sežana),Partizanska cesta 4,Sežana
19,2007,ILIRSKA BISTRICA,Dom na Vidmu,Gregorčičeva cesta 2,Ilirska Bistrica
20,2008,POSTOJNA,Kulturni dom Postojna (avla),Gregorčičev drevored 2 a,Postojna
21,2009,NOVA GORICA 1,UE Nova Gorica,Trg Edvarda Kardelja 1,5000 Nova Gorica
22,2010,NOVA GORICA 2,UE Nova Gorica,Trg Edvarda Kardelja 1,5000 Nova Gorica
23,2011,AJDOVŠČINA,UE Ajdovščina,Vipavska cesta 11b, Ajdovščina
24,3001,LOGATEC,"UE Logatec, Tržaška cesta 50A, Logatec oz. UE Cerknica, Cesta 4. maja 24, Cerknica",,
25,3001,LOGATEC,"UE Cerknica, Cesta 4. maja 24, Cerknica oz. UE Logatec, Tržaška cesta 50A, Logatec",,
26,3002,VRHNIKA,UE Vrhnika,Stara Vrhnika 1d,Vrhnika
27,3003,LJUBLJANA - VIČ RUDNIK 1,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
28,3004,LJUBLJANA - VIČ RUDNIK 2,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
29,3005,LJUBLJANA - VIČ RUDNIK 3,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
30,3006,LJUBLJANA - VIČ RUDNIK 4,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
31,3007,LJUBLJANA - CENTER,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
32,3008,LJUBLJANA - ŠIŠKA 1,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
33,3009,LJUBLJANA - ŠIŠKA 2,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
34,3010,LJUBLJANA - ŠIŠKA 3,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
35,3011,LJUBLJANA - ŠIŠKA 4,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
36,4001,KOČEVJE,Občina Kočevje,Ljubljanska cesta 26,Kočevje
37,4002,RIBNICA-DOBREPOLJE,UE Ribnica,Gorenjska cesta 9,1310 Ribnica
38,4003,GROSUPLJE,Družbeni dom Grosuplje,Taborska cesta 1,Grosuplje
39,4004,IVANČNA GORICA,Kulturni dom Ivančna Gorica,Sokolska ulica 4,Ivančna Gorica
40,4005,LJUBLJANA - MOSTE POLJE 1,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
41,4006,LJUBLJANA - MOSTE POLJE 2,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
42,4007,LJUBLJANA - MOSTE POLJE 3,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
43,4008,LJUBLJANA - BEŽIGRAD 1,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
44,4009,LJUBLJANA - BEŽIGRAD 2,Gospodarsko razstavišče (dvorana Kocka - A2),Dunajska cesta 18,Ljubljana
45,4010,DOMŽALE 1,Društvo Lipa Domžale,Ljubljanska 58,Domžale
46,4011,DOMŽALE 2,Društvo Lipa,Ljubljanska 58,Domžale
47,5001,ŠENTJUR,UE Šentjur pri Celju,Mestni trg 10,Šentjur
48,5002,CELJE 1,UE Celje,Ljubljanska cesta 1,Celje
49,5003,CELJE 2,UE Celje,Ljubljanska cesta 1,Celje
50,5004,ŽALEC 1,UE Žalec,Ulica Savinjske čete 5,Žalec
51,5005,ŽALEC 2,UE Žalec,Ulica Savinjske čete 5,Žalec
52,5006,MOZIRJE,Občina Mozirje,Šmihelska cesta 2,Mozirje
53,5007,VELENJE 1,UE Velenje (učilnica v II. nadstropju),Rudarska 6a,Velenje
54,5008,VELENJE 2,UE Velenje (učilnica v II. nadstropju),Rudarska 6a,Velenje
55,5009,SLOVENJ GRADEC,UE Slovenj Gradec,Meškova ulica 21,Slovenj Gradec
56,5010,RAVNE NA KOROŠKEM,Občina Ravne na Koroškem,Gačnikova pot 5,Ravne na Koroškem
57,5011,RADLJE,"UE Radlje ob Dravi, Mariborska cesta 7, Radlje ob Dravi oz. UE Dravograd, Meža 10, Dravograd",,
58,5011,RADLJE,"UE Dravograd, Meža 10, Dravograd oz. UE Radlje ob Dravi, Mariborska cesta 7, Radlje ob Dravi",,
59,6001,ČRNOMELJ,"UE Črnomelj, Zadružna c. 16, Črnomelj oz. UE Metlika, Naselje Borisa Kidriča 14",,
60,6001,ČRNOMELJ,"UE Metlika, Naselje Borisa Kidriča 14 oz. UE Črnomelj, Zadružna c. 16, Črnomelj",,
61,6002,NOVO MESTO 1,UE Novo mesto,Defranceschijeva ulica 1,Novo mesto
62,6003,NOVO MESTO 2,UE Novo mesto,Defranceschijeva ulica 1,Novo mesto
63,6004,TREBNJE,Občina Trebnje,Goliev trg 5,Trebnje
64,6005,BREŽICE,UE Brežice,Cesta prvih borcev 24/a,Brežice
65,6006,KRŠKO,Občina Krško,Cesta krških žrtev 14,Krško
66,6007,SEVNICA,Občina Sevnica,Glavni trg 19 a,Sevnica
67,6008,LAŠKO,Občina Laško - Energetsko svetovalna pisarna,Mestna ulica 2,Laško
68,6009,LITIJA,Občina Litija,Jerebova ulica 14,Litija
69,6010,HRASTNINK - TRBOVLJE,UE Trbovlje,Mestni trg 4,Trbovlje
70,6011,ZAGORJE,Weinbergerjeva hiša,Cesta 9. avgusta 4,Zagorje ob Savi
71,7001,ŠMARJE PRI JELŠAH,Kulturni dom Šmarje pri Jelšah,Aškerčev trg 20,Šmarje pri Jelšah
72,7002,SLOVENSKA BISTRICA,UE Slovenska Bistrica (sprejemna pisarna za osebe s posebnimi potrebami),Kolodvorska 10,2310 Slovenska Bistrica
73,7003,SLOVENSKE KONJICE,Občina Slovenske Konjice,Stari trg 29,Slovenske Konjice
74,7004,RUŠE,UE Ruše,Kolodvorska ulica 9,Ruše
75,7005,MARIBOR 1,OŠ Prežihovega Voranca Maribor,Gosposvetska 10,Maribor
76,7006,MARIBOR 2,OŠ Franca Lešnika Vuka Slivnica pri Maribor,Mariborska cesta 4,Orehova vas
77,7007,MARIBOR 3,OŠ Draga Kobala Maribor - Podružnična osnovna šola Brezje,Na trati 4,Maribor
78,7008,MARIBOR 4,Razstavni salon,Grajska ulica 7,Maribor
79,7009,MARIBOR 5,Mestni mladinski svet,Trg revolucije 9,Maribor
80,7010,MARIBOR 6,OŠ Tabor 1,Arnolda Tovornika 21,Maribor
81,7011,MARIBOR 7,Mestna četrt Tabor,Metelkova 63,Maribor
82,8001,LENDAVA,Lendava DOŠ II,Ul. Heroja Mohorja 1,Lendava
83,8002,ORMOŽ,UE Ormož,Ptujska cesta 6,Ormož
84,8003,LJUTOMER,Doma kulture,Prešernova ulica 20,Ljutomer
85,8004,MURSKA SOBOTA 1,Mestna občina Murska Sobota (avla),Kardoševa ulica 2,Murska Sobota
86,8005,MURSKA SOBOTA 2,Mestna občina Murska Sobota (avla),Kardoševa ulica 2,Murska Sobota
87,8006,GORNJA RADGONA,UE Gornja Radgona,Partizanska cesta 13,Gornja Radgona
88,8007,LENART,UE Lenart (avla),Trg osvoboditve 7,Lenart
89,8008,PESNICA,KTPC Pesnica,Pesnica pri Mariboru 41,Pesnica
90,8009,PTUJ 1,UE Ptuj,Slomškova 10,Ptuj
91,8010,PTUJ 2,UE Ptuj,Slomškova 10,Ptuj
92,8011,PTUJ 3,UE Ptuj,Slomškova 10,Ptuj
